Hotel_Name,Hotel_Rating,Hotel_Address,Disitance_to_CityCenter,AVG_Price,Review_Score,Description,Photo_Links
Hotel Canal Grande,4.0 tähden majoituspaikka,"Santa Croce 932, Campo San Simeone Profeta, Venice, VE, 30135",n,398 €,"9,6/10",n,"['https://images.trvl-media.com/hotels/3000000/2930000/2921400/2921301/c7aa474a.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2930000/2921400/2921301/82c56ca8.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2930000/2921400/2921301/1e9d6f80.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2930000/2921400/2921301/ea3f087c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2930000/2921400/2921301/924404fa.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Combo Venezia,n,"Campo Dei Gesuiti Cannaregio 4878, Venice, VE, 30123",n,226 €,"9,2/10",n,"['https://images.trvl-media.com/hotels/22000000/21090000/21082100/21082088/552185ef.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/22000000/21090000/21082100/21082088/533a20d4.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/22000000/21090000/21082100/21082088/01d9ca4f.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/22000000/21090000/21082100/21082088/f4a52df2.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/22000000/21090000/21082100/21082088/25d8b7ab.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Antiche Figure,3.0 tähden majoituspaikka,"Santa Croce 687, Fondamenta S. Simeon Piccolo, Venice, VE, 30135",n,348 €,"9,6/10",n,"['https://images.trvl-media.com/hotels/1000000/980000/976900/976826/7fc05c76.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/8728503d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/d41c3271.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/34c3075a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/6a6e4b50.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Pesaro Palace,4.0 tähden majoituspaikka,"Cannaregio 3935, Calle Ca' d'Oro, Venice, VE, 30121",n,374 €,"8,8/10",n,"['https://images.trvl-media.com/hotels/5000000/4260000/4252000/4251943/6a59c770.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4260000/4252000/4251943/bcb3b583.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4260000/4252000/4251943/6d421b5a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4260000/4252000/4251943/db030c8b.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4260000/4252000/4251943/c647ba64.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Nani Mocenigo Palace,4.5 tähden majoituspaikka,"960 Fondamenta Nani, Dorsoduro, Venice, 30123",n,514 €,"9,6/10",n,"['https://images.trvl-media.com/hotels/21000000/20210000/20204900/20204896/5ef5339c.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/21000000/20210000/20204900/20204896/6e846917.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/21000000/20210000/20204900/20204896/c0092ed7.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/21000000/20210000/20204900/20204896/2fcc5ec7.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/21000000/20210000/20204900/20204896/8a653520.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Al Nuovo Teson,3.0 tähden majoituspaikka,"Calle Pescaria 3980/81, Venice, VE, 30122",n,266 €,"8,2/10",n,"['https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/32047803.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/4697579c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/d6e8863c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/w4894h3264x0y0-bfdb71aa.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/d0cea656.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Ca' Del Campo,n,"San Marco 511 - Campo Della Guerra, Venice, VE, 30124",n,220 €,"8,6/10",n,"['https://images.trvl-media.com/hotels/1000000/890000/884900/884855/e64a3273.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/890000/884900/884855/dee79bbc.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/890000/884900/884855/f6820111.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/890000/884900/884855/a04d86af.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/890000/884900/884855/3963d555.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Palace Bonvecchiati,4.0 tähden majoituspaikka,"San Marco, Calle dei Fabbri 4680, Venice, VE, 30124",n,396 €,"9,2/10",n,"['https://images.trvl-media.com/hotels/2000000/1080000/1074400/1074350/0fd72e82.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1080000/1074400/1074350/261626d6.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1080000/1074400/1074350/232a6d90.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1080000/1074400/1074350/bee63134.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1080000/1074400/1074350/89f4ce89.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Cavalletto e Doge Orseolo,4.0 tähden majoituspaikka,"Piazza San Marco 1107, Calle del Cavalletto, Venice, VE, 30124",n,255 €,"8,4/10",n,"['https://images.trvl-media.com/hotels/1000000/10000/3600/3575/f038f496.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/71cde1a9.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/0cb7bacc.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/2261caed.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/15339908.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Venice Maggior Consiglio,n,"Calle Priuli ai Cavalletti 73/74, Cannareggio, Venice, 30121",n,251 €,"9,0/10",n,"['https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/a3bc3e79.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/24d57b63.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/5c224226.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/0972088d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/7b774a7c.jpg?impolicy=resizecrop&rw=297&ra=fit']"
