Hotel_Name,Hotel_Rating,Hotel_Address,Disitance_to_CityCenter,AVG_Price,Review_Score,Description,Photo_Links
Venice Maggior Consiglio,n,"Calle Priuli ai Cavalletti 73/74, Cannareggio, Venice, 30121",3 min walk,241 €,"4,5/5",n,"['https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/a3bc3e79.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/24d57b63.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/5c224226.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/0972088d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/12000000/11970000/11965000/11964923/7b774a7c.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hilton Molino Stucky Venice,5.0 star property,"Isola Della Giudecca 810, Venice, 30133",18 min walk,410 €,"4,2/5",n,"['https://images.trvl-media.com/hotels/2000000/1590000/1583200/1583191/3d47e70e.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1590000/1583200/1583191/b67a4e24.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1590000/1583200/1583191/6a592629.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1590000/1583200/1583191/ddc2783e.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1590000/1583200/1583191/019592b9.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Riva del Vin Boutique Hotel,3.5 star property,"Calle del Sturion 678, San Polo, Venice, VENEZIA, 30125",2 min walk,296 €,"4,6/5",n,"['https://images.trvl-media.com/hotels/33000000/32490000/32483200/32483184/6763c0d8.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/33000000/32490000/32483200/32483184/b457ae0f.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/33000000/32490000/32483200/32483184/901b0c2c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/33000000/32490000/32483200/32483184/824c8084.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/33000000/32490000/32483200/32483184/4b56ecde.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Colombina Hotel,4.0 star property,"Castello, Calle Del Remedio 4416, Venice, VE, 30122",1 min walk,365 €,"4,5/5",n,"['https://images.trvl-media.com/hotels/1000000/530000/527500/527466/493a4287.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/530000/527500/527466/984ba6fc.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/530000/527500/527466/e3f75d1f.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/530000/527500/527466/ce457d29.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/530000/527500/527466/397792f2.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Principe,4.0 star property,"Rio Tera Lista de Spagna, 146, Venice, VE, 30121",1 min walk,310 €,"4,1/5",n,"['https://images.trvl-media.com/hotels/1000000/20000/11400/11393/f4fecbd5.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11400/11393/3cdd4b74.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11400/11393/ef60efed.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11400/11393/3997ef1e.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11400/11393/91ba86c0.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Saturnia & International,4.5 star property,"San Marco 2398 - Via XXII Marzo, Venice, VE, 30124",2 min walk,313 €,"4,6/5",n,"['https://images.trvl-media.com/hotels/1000000/20000/15400/15374/06c031d5.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/15400/15374/90d7600a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/15400/15374/e500978d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/15400/15374/304209a9.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/15400/15374/085dea75.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel L'Orologio Venezia,4.5 star property,"Sestiere San Polo - Riva de L Ogio 1777, Venice, VE, 30125",5 min walk,312 €,"4,7/5",n,"['https://images.trvl-media.com/hotels/10000000/9600000/9591800/9591728/94b1cc1a.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/10000000/9600000/9591800/9591728/bcd71618.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/10000000/9600000/9591800/9591728/c598913f.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/10000000/9600000/9591800/9591728/e26abb24.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/10000000/9600000/9591800/9591728/9770baf9.jpg?impolicy=resizecrop&rw=297&ra=fit']"
San Maurizio Luxury Suites,n,"S. Marco 2739, Venice, Città Metropolitana di Venezia, 30124",1 min walk,320 €,"4,8/5",n,"['https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/41cb6719.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/889bd521.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/68149bec.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/8a868d93.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/dcd2a725.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Al Theatro Palace,4.0 star property,"San Marco 1925/A, Venice, Venice, 30124",3 min walk,317 €,"4,7/5",n,"['https://images.trvl-media.com/hotels/20000000/19650000/19645300/19645282/e8015066.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/20000000/19650000/19645300/19645282/b76c8331.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/20000000/19650000/19645300/19645282/5800b452.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/20000000/19650000/19645300/19645282/22f362c8.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/20000000/19650000/19645300/19645282/3f2111a0.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Antiche Figure,3.0 star property,"Santa Croce 687, Fondamenta S. Simeon Piccolo, Venice, VE, 30135",2 min walk,348 €,"4,8/5",n,"['https://images.trvl-media.com/hotels/1000000/980000/976900/976826/7fc05c76.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/8728503d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/d41c3271.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/34c3075a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/980000/976900/976826/6a6e4b50.jpg?impolicy=resizecrop&rw=297&ra=fit']"
